DrawDate,FirstPrize,FirstThree DigitsPrize,LastThreeDigitsPrize,LastTwoDigitsPrize
16/2/2017,229116,128 464,375 953,14
,,,,
1/2/2017,54672,066 807,426 628,42
,,,,
17/1/2017,145157,511 663,516 836,25
,,,,
30/12/2016,377712,304 890,477 769,46
,,,,
16/12/2016,435286,596 366,716 199,35
,,,,
1/12/2016,86069,513 873,148 450,77
,,,,
16/11/2016,858383,682 040,570 558,44
,,,,
1/11/2016,785438,976 824,752 038,86
,,,,
16/10/2016,571947,692 885,032 587,98
,,,,
1/10/2016,887102,280 194,458 017,33
,,,,
16/9/2016,240650,583 493,043 160,42
,,,,
1/9/2016,638684,334 335,630 669,62
,,,,
16/8/2016,254004,966 366,596 631,33
,,,,
1/8/2016,272932,538 983,472 871,57
,,,,
16/7/2016,449764,734 552,925 158,55
,,,,
1/7/2016,82460,169 609,173 302,53
,,,,
16/6/2016,73816,804 251,749 321,79
,,,,
1/6/2016,511825,775 111,937 880,14
,,,,
16/5/2016,141737,382 975,087 268,98
,,,,
2/5/2016,399459,238 403,671 046,2
,,,,
16/4/2016,221609,228 008,507 523,87
,,,,
1/4/2016,66720,546 390,285 852,92
,,,,
16/3/2016,134918,877 855,973 004,32
,,,,
1/3/2016,439686,530 426,155 743,6
,,,,
16/2/2016,356364,699 312,309 535,98
,,,,
1/2/2016,927800,625 999,054 076,9
,,,,
17/1/2016,304371,031 532,786 743,50
,,,,
30/12/2015,8217,246 264,895 596,2
,,,,
17/12/2015,930255,140 250,094 638,8
,,,,
1/12/2015,915350,238 181,714 175,78
,,,,
16/11/2015,795283,241 028,643 802,3
,,,,
1/11/2015,361211,106 757,166 473,45
,,,,
16/10/2015,968630,457 134,412 054,62
,,,,
1/10/2015,594825,175 918,440 799,7
,,,,
16/9/2015,743148,435 209,375 084,6
,,,,
1/9/2015,21094,260 403,068 819,89
,,,,
16/8/2015,33363,,781 227 624 648,40
,,,,
1/8/2015,518677,,333 598 648 889,53
,,,,
16/7/2015,121507,,761 461 830 294,49
,,,,
1/7/2015,759049,,565 814 081 567,26
,,,,
16/6/2015,644742,,429 253 386 532,5
,,,,
2/6/2015,388881,,314 700 876 969,65
,,,,
16/5/2015,11421,,799 484 851 928,38
,,,,
2/5/2015,543466,,818 163 366 195,30
,,,,
16/4/2015,506260,,101 164 495 973,38
,,,,
1/4/2015,605704,,558 962 557 861,70
,,,,
16/3/2015,48151,,339 622 623 757,92
,,,,
1/3/2015,240237,,498 031 857 008,34
,,,,
16/2/2015,1864,,843 103 825 392,90
,,,,
1/2/2015,155537,,083 286 813 008,79
,,,,
16/1/2015,244351,,068 398 595 877,74
,,,,
30/12/2014,461704,,853 982 535 950,57
,,,,
16/12/2014,948354,,080 763 775 901,90
,,,,
1/12/2014,480449,,820 380 580 161,11
,,,,
16/11/2014,479804,,179 422 480 709,25
,,,,
1/11/2014,206608,,607 203 855 979,44
,,,,
16/10/2014,656409,,647 784 848 910,94
,,,,
1/10/2014,375615,,251 086 159 520,44
,,,,
16/9/2014,772269,,112 257 342 790,35
,,,,
1/9/2014,856763,,308 912 477 490,22
,,,,
16/8/2014,662842,,639 912 187 633,91
